clave,es
A7_AVISO_CIERRE,"Al presentar, el expediente queda cerrado."
A7_CASILLA,%s — %s
A7_DECLARACION,Declaro haber revisado íntegramente la documentación obrante en el expediente.
A7_EJERCICIO,Ejercicio: %s        Instructor: auditor01
A7_EXPEDIENTE,Expediente: %s
A7_FALTA_CASILLA,Marque la casilla del responsable.
A7_FALTA_DECLARACION,Falta la declaración responsable.
A7_INSTRUCCION,Marque UNA casilla. La imputación es firme y no admite rectificación.
A7_PRESENTAR,PRESENTAR
A7_SIN_FECHA,s/f
A7_SIN_JORNADA,SE ACABÓ LA JORNADA. El registro ya no admite entradas hoy.
A7_TITULO,FORMULARIO A-7  ·  IMPUTACIÓN DE RESPONSABILIDAD
A7_VOLVER,Volver al expediente
A7_YA_CERRADO,Este expediente ya tiene veredicto firme.
AVIONES_EMPATE,Empate
AVIONES_ESTADO_ABANDONADA,Ronda abandonada · el ciclo diario no cambia
AVIONES_ESTADO_FIN,Ronda terminada · ganador: %s
AVIONES_ESTADO_LANZAMIENTO,Tu turno · lanzamiento %d/3
AVIONES_ESTADO_VUELO,%.1f m · %.0f precisión
AVIONES_JUGADOR,Tú
AVIONES_LANZAR,Lanzar
AVIONES_MARCADOR,Marcador · Tú: %.1f · Distancia: %.1f · Papelera: %.1f · Cuñado: %.1f
AVIONES_MODALIDAD_DISTANCIA,Distancia
AVIONES_MODALIDAD_PRECISION,Precisión
AVIONES_MODALIDAD_ZONA,Zona
AVIONES_MODELO_ESTABLE,Estable
AVIONES_MODELO_IMPREDECIBLE,Impredecible
AVIONES_MODELO_RAPIDO,Rápido
AVIONES_NUEVA_RONDA,Nueva ronda
AVIONES_RIVAL_CUNADO,Cuñado
AVIONES_RIVAL_DISTANCIA,Distancia
AVIONES_RIVAL_PAPELERA,Papelera
CAREO_MARCADOR,Usted %s        %s %s
CAREO_NO_RECONOCE,%s no reconoce la acusación.
CAREO_REPLICA,« %s »
CAREO_ROTULO_EXPEDIENTE,EXPEDIENTE {folio}
CAREO_SIN_CARGO,Cargo no consta en el expediente
CAREO_SIN_FOLIO,SIN NÚMERO
CAREO_VEREDICTO_JUGADOR,cede un punto
CAREO_VEREDICTO_RIVAL,se le impone
CASA_BORRADO,Expediente personal borrado. No consta que haya estado usted aquí.
CASA_BORRAR,Empezar de cero
CASA_BORRAR_SEGURO,"¿Seguro? Se pierde TODO: cartas, logros y rachas"
CASO_1_TITULO,El cierre de caja de 1999
CASO_2_TITULO,El trámite de la silla 4-B
CASO_3_TITULO,Traspaso de personal: expediente de E. Montalvo
CASO_4_TITULO,Contrato de fin de año con Carcosa Servicios Escénicos
CASO_5_TITULO,"El expediente MEMO-1978-014 (y 1993, y 2007)"
CASO_6_TITULO,Acta constitutiva de la empresa (versión no circulada)
CASO_7_TITULO,El expediente de la herencia Karamázov
CASO_8_TITULO,El expediente del empleado #427
CASO_9_TITULO,El funcionario que dejó de tramitar
CASO_10_TITULO,El empleado adicional
COMBATE_CRONICA,Usted: %s   ·   %s: %s   —   %s
COMBATE_INSISTENCIA,Insistencia
COMBATE_OBJECION,Objeción
COMBATE_SILENCIO,Silencio
